freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,2,2,2019-11-14,14:57:59:582,1,AB,left,na,True,7.862,3000,1000,88,630,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:57:59:584,1,AB,left,na,None,7.863,3000,1000,88,630,True,PS,LB,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:06:87,2,AA,right,na,True,0.594,3000,1000,1178,205,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:06:88,2,AA,right,na,None,0.595,3000,1000,1178,205,True,PS,RT,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:11:463,3,BA,left,na,False,0.552,3000,1000,90,650,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:11:463,3,BA,left,na,None,0.553,3000,1000,90,650,True,PS,LB,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:18:1000,4,BA,right,na,True,0.782,3000,1000,1209,201,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:19:1,4,BA,right,na,None,0.783,3000,1000,1209,201,True,PS,RT,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:25:226,5,BB,left,na,False,1.509,3000,1000,80,663,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:25:227,5,BB,left,na,None,1.509,3000,1000,80,663,True,PS,LB,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:32:470,6,BB,right,na,True,0.574,3000,1000,1211,192,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:32:471,6,BB,right,na,None,0.575,3000,1000,1211,192,True,PS,RT,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:40:214,7,AB,left,na,True,2.977,3000,1000,84,667,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:40:214,7,AB,left,na,None,2.978,3000,1000,84,667,True,PS,LB,None,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:46:870,8,AA,left,na,False,1.568,3000,1000,83,665,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,2,2019-11-14,14:58:46:872,8,AA,left,na,None,1.57,3000,1000,83,665,True,PS,LB,None,na,na,na,na,na,na,na
