freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,2,1,2019-11-12,15:38:30:842,1,BA,right,na,True,36.759,3000,1000,1175,134,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:38:30:842,1,BA,right,na,None,36.759,3000,1000,1175,134,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:38:37:270,2,BB,left,na,False,1.337,3000,1000,162,616,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:38:37:270,2,BB,left,na,None,1.337,3000,1000,162,616,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:06:701,3,BB,right,na,True,22.01,3000,1000,1160,110,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:06:703,3,BB,right,na,None,22.012,3000,1000,1160,110,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:13:717,4,AB,right,na,False,1.579,3000,1000,1178,195,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:13:717,4,AB,right,na,None,1.579,3000,1000,1178,195,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:23:677,5,AB,left,na,True,2.102,3000,1000,139,599,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:23:678,5,AB,left,na,None,2.104,3000,1000,139,599,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:29:869,6,AA,left,na,False,1.237,3000,1000,150,625,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:29:870,6,AA,left,na,None,1.239,3000,1000,150,625,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:37:496,7,AA,right,na,True,0.642,3000,1000,1186,168,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:37:497,7,AA,right,na,None,0.643,3000,1000,1186,168,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:42:931,8,BA,left,na,False,0.571,3000,1000,137,596,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:42:931,8,BA,left,na,None,0.571,3000,1000,137,596,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:51:125,9,BA,left,na,False,0.492,3000,1000,172,590,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:51:126,9,BA,left,na,None,0.493,3000,1000,172,590,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:58:871,10,BA,right,na,True,0.267,3000,1000,1164,96,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:39:58:872,10,BA,right,na,None,0.268,3000,1000,1164,96,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:04:355,11,AB,right,na,False,0.69,3000,1000,1160,123,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:04:357,11,AB,right,na,None,0.692,3000,1000,1160,123,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:11:278,12,AB,left,na,True,0.313,3000,1000,100,579,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:11:279,12,AB,left,na,None,0.314,3000,1000,100,579,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:17:20,13,BB,right,na,True,0.948,3000,1000,1150,127,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:17:20,13,BB,right,na,None,0.948,3000,1000,1150,127,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:22:206,14,BA,right,na,True,0.306,3000,1000,1159,116,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:22:206,14,BA,right,na,None,0.306,3000,1000,1159,116,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:27:192,15,AA,left,na,False,0.357,3000,1000,86,593,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:27:193,15,AA,left,na,None,0.358,3000,1000,86,593,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:34:347,16,AA,right,na,True,0.428,3000,1000,1159,121,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:34:348,16,AA,right,na,None,0.429,3000,1000,1159,121,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:39:758,17,AB,left,na,True,0.524,3000,1000,91,554,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:39:758,17,AB,left,na,None,0.525,3000,1000,91,554,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:39:832,17,AB,left,na,None,0.598,3000,1000,96,554,True,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:45:1,18,BB,left,na,False,0.29,3000,1000,110,574,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:45:1,18,BB,left,na,None,0.291,3000,1000,110,574,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:53:423,19,BB,right,na,True,0.445,3000,1000,1187,111,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-12,15:40:53:424,19,BB,right,na,None,0.446,3000,1000,1187,111,True,PS,RT,None,na,na,na,na,na,na,na
0.6,2,1,2019-11-12,15:40:58:622,20,AA,right,na,True,0.37,3000,1000,1135,133,False,PS,RT,R2,na,na,na,na,na,na,na
0.6,2,1,2019-11-12,15:40:58:623,20,AA,right,na,None,0.371,3000,1000,1135,133,True,PS,RT,None,na,na,na,na,na,na,na
0.6,2,1,2019-11-12,15:41:03:684,21,AB,left,na,True,0.358,3000,1000,88,593,False,PS,LB,R1,na,na,na,na,na,na,na
0.6,2,1,2019-11-12,15:41:03:684,21,AB,left,na,None,0.359,3000,1000,88,593,True,PS,LB,None,na,na,na,na,na,na,na
0.65,2,1,2019-11-12,15:41:08:808,22,AB,left,na,True,0.446,3000,1000,103,607,False,PS,LB,R1,na,na,na,na,na,na,na
0.65,2,1,2019-11-12,15:41:08:809,22,AB,left,na,None,0.447,3000,1000,103,607,True,PS,LB,None,na,na,na,na,na,na,na
0.65,2,1,2019-11-12,15:41:13:720,23,AB,left,na,True,0.28,3000,1000,120,590,False,PS,LB,R1,na,na,na,na,na,na,na
0.65,2,1,2019-11-12,15:41:13:721,23,AB,left,na,None,0.281,3000,1000,120,590,True,PS,LB,None,na,na,na,na,na,na,na
