freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,1,3,2019-11-21,13:34:40:557,1,orangesquare,left,True,None,2.765,3000,1000,389,336,False,ST,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:35:02:609,2,lightbluesquare,left,False,False,6.402,3000,1000,420,353,False,BS,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:35:12:151,3,orangesquare,right,False,False,3.035,3000,1000,878,418,False,BS,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:35:25:130,4,lightbluesquare,left,False,False,7.03,3000,1000,346,333,False,BS,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:35:34:546,5,lightbluesquare,right,True,None,3.569,3000,1000,885,375,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:35:43:38,6,orangesquare,right,False,False,4.5,3000,1000,891,384,False,BS,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:35:54:941,7,lightbluesquare,right,False,True,5.395,3000,1000,877,405,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:00:712,8,orangesquare,left,False,True,1.107,3000,1000,452,383,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:05:407,9,orangesquare,left,True,None,0.96,3000,1000,432,376,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:09:827,10,lightbluesquare,right,False,True,0.684,3000,1000,909,394,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:16:630,11,orangesquare,left,False,True,3.086,3000,1000,441,410,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:21:55,12,orangesquare,left,False,True,0.744,3000,1000,426,366,False,ST,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:25:333,13,orangesquare,left,True,None,0.661,3000,1000,415,393,False,ST,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:29:554,14,lightbluesquare,right,False,True,0.669,3000,1000,901,406,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:33:721,15,orangesquare,left,False,True,0.598,3000,1000,397,357,False,ST,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:37:734,16,orangesquare,left,False,True,0.485,3000,1000,446,327,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:42:42,17,lightbluesquare,right,True,None,0.574,3000,1000,897,408,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:46:244,18,lightbluesquare,right,False,True,0.633,3000,1000,884,405,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:50:434,19,lightbluesquare,right,False,True,0.596,3000,1000,869,434,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:54:764,20,lightbluesquare,right,False,True,0.532,3000,1000,882,384,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:36:58:849,21,lightbluesquare,right,True,None,0.58,3000,1000,864,403,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:37:03:79,22,lightbluesquare,right,False,True,0.661,3000,1000,875,406,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:37:07:179,23,orangesquare,left,False,True,0.535,3000,1000,455,373,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:37:11:170,24,lightbluesquare,right,False,True,0.526,3000,1000,887,376,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:37:15:193,25,orangesquare,left,True,None,0.559,3000,1000,415,375,False,ST,LM,R1,na,na,na,na,na,na,na
0,1,3,2019-11-21,13:37:19:184,26,lightbluesquare,right,False,True,0.487,3000,1000,860,408,False,ST,RM,R2,na,na,na,na,na,na,na
0.8,1,3,2019-11-21,13:37:23:222,27,lightbluesquare,right,False,True,0.518,3000,1000,885,402,False,ST,RM,R2,na,na,na,na,na,na,na
