freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,4,1,2019-11-12,15:43:18:525,1,B,left,na,True,0.335,3000,1000,450,432,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:22:346,2,A,right,na,True,0.306,3000,1000,829,452,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:26:301,3,B,left,na,True,0.32,3000,1000,449,432,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:30:231,4,B,left,na,True,0.309,3000,1000,434,441,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:34:69,5,A,right,na,True,0.349,3000,1000,858,425,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:37:767,6,A,right,na,True,0.305,3000,1000,862,414,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:43:668,7,A,right,na,True,1.623,3000,1000,855,427,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:48:6,8,A,right,na,True,0.274,3000,1000,871,406,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:43:51:663,9,A,right,na,True,0.296,3000,1000,846,424,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:00:985,10,aB,left,na,None,4.179,3000,1000,361,426,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:06:551,11,B,left,na,True,1.631,3000,1000,421,451,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:11:784,12,B,left,na,True,0.671,3000,1000,405,438,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:15:796,13,B,left,na,True,0.375,3000,1000,425,432,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:20:87,14,A,right,na,True,0.884,3000,1000,858,407,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:23:863,15,B,left,na,True,0.298,3000,1000,437,457,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:28:469,16,B,left,na,True,1.244,3000,1000,441,432,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:33:421,17,A,right,na,True,0.36,3000,1000,859,440,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:37:212,18,A,right,na,True,0.305,3000,1000,840,417,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:40:955,19,B,left,na,True,0.28,3000,1000,460,423,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:47:145,20,aB,left,na,None,0.961,3000,1000,410,425,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,1,2019-11-12,15:44:52:756,21,B,left,na,True,0.641,3000,1000,432,431,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,1,2019-11-12,15:44:57:110,22,B,left,na,True,0.422,3000,1000,428,426,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,1,2019-11-12,15:45:01:2,23,A,right,na,True,0.318,3000,1000,837,442,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,1,2019-11-12,15:45:04:708,24,A,right,na,True,0.303,3000,1000,824,436,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
