freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,4,5,2019-11-26,13:37:17:406,1,B,left,na,True,0.336,3000,1000,457,442,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:21:236,2,B,left,na,True,0.382,3000,1000,425,400,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:25:148,3,A,right,na,True,0.494,3000,1000,886,429,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:28:869,4,A,right,na,True,0.284,3000,1000,839,451,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:32:275,5,A,right,na,None,3.691,3000,1000,911,427,True,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:32:928,5,A,right,na,True,0.59,3000,1000,883,397,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:36:391,6,A,right,na,True,0.045,3000,1000,886,374,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:40:19,7,B,left,na,True,0.127,3000,1000,405,427,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:43:842,8,B,left,na,True,0.291,3000,1000,391,411,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:47:808,9,B,left,na,True,0.565,3000,1000,421,448,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:37:58:218,10,AB,right,na,None,2.195,3000,1000,885,367,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:02:435,11,A,right,na,True,0.821,3000,1000,883,403,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:06:384,12,B,left,na,True,0.448,3000,1000,400,398,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:10:499,13,A,right,na,True,0.354,3000,1000,850,407,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:14:212,14,A,right,na,True,0.27,3000,1000,824,417,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:17:965,15,A,right,na,True,0.264,3000,1000,841,407,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:21:505,16,B,left,na,True,0.118,3000,1000,417,477,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:25:439,17,B,left,na,True,0.503,3000,1000,400,389,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:28:799,18,A,right,na,None,3.862,3000,1000,901,460,True,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:29:450,18,A,right,na,True,0.581,3000,1000,855,427,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:33:75,19,A,right,na,True,0.201,3000,1000,861,409,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:41:604,20,AB,right,na,None,0.292,3000,1000,845,430,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,5,2019-11-26,13:38:44:720,21,A,right,na,True,0.298,3000,1000,824,438,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:38:48:371,22,A,right,na,True,0.203,3000,1000,823,441,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:38:52:78,23,B,left,na,True,0.289,3000,1000,430,414,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:38:55:642,24,B,left,na,True,0.218,3000,1000,406,428,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:38:57:619,24,B,left,na,None,2.196,3000,1000,744,509,True,PS,MB,None,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:00:658,25,B,left,na,True,0.201,3000,1000,426,452,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:04:128,26,B,left,na,True,0.022,3000,1000,399,432,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:07:549,27,A,right,na,True,0.021,3000,1000,877,469,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:11:555,28,B,left,na,True,0.288,3000,1000,435,405,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:14:925,29,A,right,na,True,0.002,3000,1000,888,442,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:23:886,30,AB,right,na,None,0.667,3000,1000,871,432,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:27:154,31,B,left,na,True,0.378,3000,1000,396,432,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:30:954,32,A,right,na,True,0.348,3000,1000,835,417,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:34:746,33,A,right,na,True,0.4,3000,1000,853,439,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:38:513,34,B,left,na,True,0.407,3000,1000,404,433,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:42:249,35,A,right,na,True,0.318,3000,1000,934,452,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:45:994,36,B,left,na,True,0.408,3000,1000,465,458,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:49:951,37,B,left,na,True,0.39,3000,1000,397,421,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:54:111,38,A,right,na,True,0.743,3000,1000,858,458,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:39:57:848,39,B,left,na,True,0.33,3000,1000,457,430,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,5,2019-11-26,13:40:00:893,40,aB,left,na,None,3.375,3000,1000,693,508,True,PS,MB,NB,1500,10,4000,1000,2000,300,500
