freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,1,2,2019-11-14,14:54:35:766,1,lightbluesquare,right,True,None,2.259,3000,1000,901,393,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:54:38:478,2,orangesquare,right,False,None,4.971,3000,1000,705,127,True,None,MT,S,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:54:39:13,2,orangesquare,right,False,None,5.505,3000,1000,692,157,True,None,MT,S,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:54:41:450,2,orangesquare,right,False,False,1.584,3000,1000,900,415,False,BS,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:54:48:900,3,lightbluesquare,right,False,True,1.568,3000,1000,870,350,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:54:53:292,4,lightbluesquare,right,False,True,0.574,3000,1000,909,350,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:54:57:543,5,orangesquare,left,True,None,0.59,3000,1000,438,374,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:01:548,6,orangesquare,right,False,False,0.399,3000,1000,894,416,False,BS,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:07:348,7,lightbluesquare,right,False,True,0.314,3000,1000,870,375,False,ST,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:11:291,8,lightbluesquare,left,False,False,0.403,3000,1000,425,412,False,BS,LM,R1,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:17:536,9,orangesquare,left,True,None,0.831,3000,1000,1050,462,True,RS,RM,NB,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:18:2,9,orangesquare,left,True,None,1.297,3000,1000,437,374,False,ST,MM,R1,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:22:486,10,orangesquare,right,False,False,0.441,3000,1000,909,418,False,BS,RM,R2,na,na,na,na,na,na,na
0,1,2,2019-11-14,14:55:28:336,11,lightbluesquare,left,False,False,0.405,3000,1000,421,432,False,BS,LM,R1,na,na,na,na,na,na,na
