freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,4,4,2019-11-21,15:03:52:400,1,A,right,na,True,0.783,3000,1000,825,415,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:03:56:322,2,B,left,na,True,0.445,3000,1000,455,447,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:00:98,3,A,right,na,True,0.368,3000,1000,826,377,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:01:885,3,A,right,na,None,2.155,3000,1000,646,501,True,PS,MB,None,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:05:79,4,B,left,na,True,0.396,3000,1000,474,403,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:08:909,5,A,right,na,True,0.343,3000,1000,811,390,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:12:666,6,A,right,na,True,0.35,3000,1000,831,416,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:16:532,7,B,left,na,True,0.371,3000,1000,415,411,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:20:103,8,A,right,na,True,0.265,3000,1000,833,378,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:21:36,8,A,right,na,None,1.197,3000,1000,646,617,True,PS,MB,NB,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:23:815,9,B,left,na,True,0.306,3000,1000,507,443,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:30:121,10,aB,right,na,None,1.164,3000,1000,880,390,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:34:273,11,B,left,na,True,1.37,3000,1000,420,408,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:41:216,12,A,right,na,True,0.949,3000,1000,848,428,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:45:475,13,B,left,na,True,0.821,3000,1000,380,402,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:49:595,14,B,left,na,True,0.585,3000,1000,467,404,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:53:556,15,B,left,na,True,0.553,3000,1000,487,410,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:04:57:431,16,A,right,na,True,0.462,3000,1000,876,395,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:05:01:159,17,B,left,na,True,0.376,3000,1000,470,404,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:05:05:200,18,A,right,na,True,0.682,3000,1000,838,386,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:05:08:966,19,B,left,na,True,0.352,3000,1000,444,411,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:05:15:289,20,aB,left,na,None,1.084,3000,1000,480,384,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,4,2019-11-21,15:05:19:78,21,A,right,na,True,0.914,3000,1000,836,457,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:23:644,22,B,left,na,True,0.483,3000,1000,464,429,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:29:624,23,B,left,na,True,0.775,3000,1000,440,437,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:36:190,24,A,right,na,True,0.64,3000,1000,840,386,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:40:663,25,A,right,na,True,0.854,3000,1000,811,388,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:44:396,26,A,right,na,None,0.301,3000,1000,799,490,True,PS,MB,NB,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:44:814,26,A,right,na,True,0.719,3000,1000,857,420,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:48:720,27,B,left,na,True,0.541,3000,1000,470,391,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:52:375,28,A,right,na,True,0.296,3000,1000,838,419,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:05:56:32,29,A,right,na,True,0.368,3000,1000,822,439,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:06:01:662,30,aB,left,na,None,0.386,3000,1000,464,400,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:06:04:918,31,A,right,na,True,0.484,3000,1000,844,444,False,PS,MM,R2,1500,10,4000,1000,2000,300,500
1.0,4,4,2019-11-21,15:06:09:556,32,B,left,na,True,0.359,3000,1000,458,424,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
