freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,4,3,2019-11-21,13:41:21:438,1,A,right,na,True,0.495,3000,1000,910,449,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:25:416,2,B,left,na,True,0.522,3000,1000,445,426,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:29:330,3,A,right,na,True,0.442,3000,1000,917,436,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:33:166,4,B,left,na,True,0.451,3000,1000,426,404,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:36:947,5,A,right,na,True,0.35,3000,1000,881,429,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:40:790,6,A,right,na,True,0.45,3000,1000,911,425,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:44:594,7,B,left,na,True,0.417,3000,1000,475,442,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:48:610,8,B,left,na,True,0.545,3000,1000,424,441,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:52:634,9,B,left,na,True,0.645,3000,1000,441,452,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:41:58:841,10,aB,left,na,None,0.873,3000,1000,466,419,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:03:558,11,B,left,na,True,0.826,3000,1000,424,389,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:07:699,12,A,right,na,True,0.402,3000,1000,858,450,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:11:913,13,A,right,na,True,0.67,3000,1000,895,433,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:16:241,14,B,left,na,True,0.589,3000,1000,457,397,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:20:439,15,B,left,na,True,0.503,3000,1000,439,393,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:24:322,16,A,right,na,True,0.433,3000,1000,896,403,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:28:212,17,B,left,na,True,0.459,3000,1000,447,438,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:32:31,18,A,right,na,True,0.403,3000,1000,897,437,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:33:656,18,A,right,na,None,2.028,3000,1000,721,625,True,PS,MB,None,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:36:776,19,B,left,na,True,0.482,3000,1000,475,471,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:47:439,20,AB,left,na,None,2.312,3000,1000,454,413,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:52:4,21,A,right,na,True,0.669,3000,1000,889,454,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
0,4,3,2019-11-21,13:42:53:427,21,A,right,na,None,2.092,3000,1000,696,695,True,PS,MB,None,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:42:56:499,22,A,right,na,True,0.596,3000,1000,929,438,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:00:813,23,B,left,na,True,0.808,3000,1000,449,423,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:05:137,24,A,right,na,True,0.763,3000,1000,972,410,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:09:286,25,A,right,na,True,0.63,3000,1000,869,441,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:13:262,26,B,left,na,True,0.511,3000,1000,440,426,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:17:230,27,B,left,na,True,0.48,3000,1000,450,423,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:21:305,28,B,left,na,True,0.571,3000,1000,453,440,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:25:180,29,A,right,na,True,0.377,3000,1000,903,435,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:31:354,30,aB,left,na,None,0.863,3000,1000,412,420,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:36:70,31,B,left,na,True,0.684,3000,1000,465,417,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:40:69,32,B,left,na,True,0.372,3000,1000,474,377,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:44:123,33,B,left,na,True,0.434,3000,1000,425,454,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:47:879,34,A,right,na,True,0.347,3000,1000,869,393,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:51:844,35,A,right,na,True,0.512,3000,1000,868,432,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:55:750,36,B,left,na,True,0.458,3000,1000,481,427,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:43:59:702,37,A,right,na,True,0.441,3000,1000,880,436,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:03:651,38,A,right,na,True,0.401,3000,1000,888,404,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:07:589,39,A,right,na,True,0.455,3000,1000,878,442,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:13:351,40,aB,right,na,None,0.38,3000,1000,870,419,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:17:829,41,A,right,na,True,1.461,3000,1000,889,424,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:21:970,42,B,left,na,True,0.572,3000,1000,428,435,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:26:38,43,B,left,na,True,0.479,3000,1000,454,390,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:29:944,44,A,right,na,True,0.393,3000,1000,860,434,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:33:966,45,B,left,na,True,0.488,3000,1000,471,455,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:39:72,46,B,left,na,True,0.433,3000,1000,452,415,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:42:975,47,A,right,na,True,0.404,3000,1000,863,442,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:46:849,48,A,right,na,True,0.419,3000,1000,886,449,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:48:331,48,A,right,na,None,1.901,3000,1000,728,568,True,PS,MB,None,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:51:625,49,A,right,na,True,0.763,3000,1000,922,404,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:44:57:551,50,aB,left,na,None,0.608,3000,1000,443,354,False,PS,MM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:45:01:221,51,B,left,na,True,0.636,3000,1000,391,392,False,PS,LM,R1,1500,10,4000,1000,2000,300,500
1.0,4,3,2019-11-21,13:45:05:401,52,A,right,na,True,0.496,3000,1000,895,420,False,PS,RM,R2,1500,10,4000,1000,2000,300,500
