freq_correct,sub_experiment_index,subject,date,timestamp,trial,stimulus,response,is_practice_trial,is_correct,response_time,BLACKOUT_TIME,DELAY_AFTER_REWARD,x,y,undesired_touch,screen_touched,cell_touched,button_touched,SDP_SINGLE_STIMULUS_TIME,SDP_PROBE_TRIAL_INTERVAL,SDP_LONG_A_TIME,SDP_SHORT_A_TIME,SDP_B_TIME,SDP_INTER_STIMULUS_TIME,SDP_DELAY
0,2,1,2019-11-14,13:39:26:648,1,AB,right,na,False,6.16,3000,1000,1091,204,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:26:650,1,AB,right,na,None,6.162,3000,1000,1091,204,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:34:987,2,AB,left,na,True,0.738,3000,1000,139,586,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:34:988,2,AB,left,na,None,0.739,3000,1000,139,586,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:41:654,3,AB,right,na,False,0.955,3000,1000,1065,150,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:41:656,3,AB,right,na,None,0.956,3000,1000,1065,150,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:50:548,4,AB,left,na,True,1.309,3000,1000,108,602,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:50:548,4,AB,left,na,None,1.309,3000,1000,108,602,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:57:192,5,AB,left,na,True,0.401,3000,1000,129,610,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:39:57:193,5,AB,left,na,None,0.402,3000,1000,129,610,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:40:03:204,6,BA,right,na,True,0.754,3000,1000,1121,136,False,PS,RT,R2,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:40:03:204,6,BA,right,na,None,0.754,3000,1000,1121,136,True,PS,RT,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:40:09:628,7,AB,left,na,True,1.214,3000,1000,135,586,False,PS,LB,R1,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:40:09:629,7,AB,left,na,None,1.215,3000,1000,135,586,True,PS,LB,None,na,na,na,na,na,na,na
0,2,1,2019-11-14,13:40:15:574,8,AA,right,na,True,0.429,3000,1000,1122,130,False,PS,RT,R2,na,na,na,na,na,na,na
